round,train_loss,mean_reward,success_rate,policy_entropy,cpu_usage,gpu_usage,network_mb,train_time,total_latency
135,16.366662,1481.386,0.0,0.0512,99.09,0.0,12.838,0.0,30.5
136,15.739694,1160.2221,0.0,0.0509,99.3,0.0,12.978,0.0,28.95
137,15.989885,1132.7717,0.0,0.0509,99.18,0.0,12.844,0.0,29.79
138,15.304498,1397.8607,0.0,0.0506,95.16,0.0,12.963,0.0,22.22
139,15.550928,1129.6559,0.0,0.0504,92.25,0.0,12.134,0.0,16.46
140,14.631919,1230.5246,0.0,0.0502,91.2,0.0,12.138,0.0,15.98
141,14.48924,1005.4238,0.0,0.0496,85.87,0.0,12.138,0.0,15.96
142,14.931867,1227.3342,0.0,0.0493,80.17,0.0,12.138,0.0,15.75
143,15.030753,1367.0102,0.0,0.0494,67.8,0.0,12.839,0.0,16.64
144,14.526999,1438.8412,0.0,0.0492,54.5,0.0,12.14,0.0,15.2
145,14.735425,1288.1884,0.0,0.0488,48.73,0.0,12.132,0.0,14.73
146,14.531106,1333.6684,0.0,0.0486,47.99,0.0,12.139,0.0,16.24
147,13.467561,1436.6841,0.0,0.0484,48.79,0.0,12.131,0.0,13.96
148,13.296122,1265.7532,0.0,0.048,49.07,0.0,12.134,0.0,13.9
149,12.649337,1429.222,0.0,0.0475,48.98,0.0,12.136,0.0,14.16
150,11.833374,1257.1399,0.0,0.0473,48.98,0.0,12.136,0.0,14.19
